"id","nhom","ten","tab_dang_thay_trong_sam_set","entrypoint_hien_tai","route_dich_file","loai_dieu_huong","trang_thai_unavailable_dieu_kien","phat_hien_bang_code","duong_khac_phuc","phu_thuoc","ghi_chu"
"TOOL-PDFREADER","TOOL","PDF Reader","Home, Nghe, Hiểu","_handleTool('pdf_reader')","lib/features/pdf_reader/pdf_reader_screen.dart","FilePicker -> push MaterialPageRoute","người dùng không chọn file PDF","FilePicker.pickFiles(allowedExtensions:['pdf']) trả null","thử lại và chọn file .pdf","file PDF trên máy","hành vi cũ: huỷ picker = không mở màn hình"
"TOOL-YOUGLISH","TOOL","YouGlish","Home","_handleTool('youglish')","lib/screens/tools/youglish/youglish_screen.dart","push MaterialPageRoute","không có mạng","youglish_widget.dart dùng webview_flutter / webview_win_floating","thử lại khi có mạng","mạng","11 ngôn ngữ + 3 accent (youglish_config.dart)"
"TOOL-WORDMAP","TOOL","Word Map","Home, Nhớ","_handleTool('word_map')","lib/screens/tools/map_tab.dart","push _ToolPage + VocabularyProvider","chưa có từ vựng","map_tab.dart:42 'Chưa có từ vựng'","Word List / lưu từ khi đọc-nghe","WordList (VocabularyProvider)","nhóm tương tự: Triangle, Venn"
"TOOL-TRIANGLE","TOOL","Triangle","Home, Nhớ","_handleTool('triangle')","lib/screens/tools/triangle_tab.dart","push _ToolPage + VocabularyProvider","chưa có từ vựng","triangle_tab.dart:95 'Chưa có từ vựng'","như trên","WordList","quy tắc vàng #2: 3 skill tách biệt - không gộp điểm"
"TOOL-VENN","TOOL","Venn","Home, Nhớ","_handleTool('venn')","lib/screens/tools/venn_tab.dart","push _ToolPage + VocabularyProvider","chưa có từ vựng","venn_tab.dart:62 'Chưa có từ vựng'","như trên","WordList",""
"TOOL-STATS","TOOL","Thống kê","Home, Nhớ","_handleTool('stats')","lib/screens/tools/stats_tab.dart","push _ToolPage + VocabularyProvider","chưa có dữ liệu học","StatsTab (dữ liệu rỗng)","học/ôn để có dữ liệu","dữ liệu học",""
"TOOL-WORDLIST","TOOL","Word List","Home, Nhớ","_handleTool('word_list')","lib/screens/tools/word_list/word_list_screen.dart","push MaterialPageRoute","danh sách trống","WordListScreen (empty state)","thêm từ / import clipboard-CSV / lưu từ khi đọc","WordList",""
"TOOL-WORDLIST-STATS","TOOL","Wordlist Stats","Home, Nhớ","_handleTool('wordlist_stats')","lib/screens/tools/word_list/stats_dashboard.dart","push MaterialPageRoute","chưa có từ vựng","StatsDashboard","như trên","WordList",""
"TOOL-TIMELINE","TOOL","Timeline","Home, Nhớ","_handleTool('timeline')","lib/screens/tools/word_list/timeline_view.dart","push MaterialPageRoute","chưa có dữ liệu","TimelineView","học để có dữ liệu","dữ liệu học",""
"TOOL-SOUNDLIST","TOOL","Âm mục","Home, Nhớ","_handleTool('sound_list')","lib/screens/tools/sound_list/sound_list_screen.dart","push MaterialPageRoute","chưa có audio","SoundListScreen","chọn audio ở tab Nghe","audio",""
"TOOL-LBH","TOOL","Thuộc lòng (Learn by Heart)","Home, Hiểu, Nhớ","_handleTool('learn_by_heart')","lib/features/learn_by_heart/screens/learn_by_heart_hub_screen.dart","push MaterialPageRoute","chưa có bài/đoạn để học; TTS Piper chưa import","LearnByHeartHubScreen","chọn bài trong hub; TTS giọng máy là fallback","nội dung bài + (tuỳ chọn) giọng Piper","liên quan TTS-PIPER-001/002"
"TOOL-REVIEW","TOOL","Ôn tập (SRS)","Home, Đọc, Hiểu, Nhớ","_handleTool('review')","lib/screens/tools/review_tab.dart","push _ToolPage + VocabularyProvider","chưa có thẻ đến hạn","ReviewTab","học/lưu thẻ trước","dữ liệu SRS/FSRS",""
"TOOL-SHELLUI","TOOL","Giao diện shell","Tất cả tab","_handleTool('shell_ui_settings')","lib/screens/settings/shell_ui_settings_screen.dart","mở sheet/màn hình cài đặt","không có","ShellUiSettingsScreen","-","-","giữ nguyên; KHÔNG nằm trong carousel khám phá (là cài đặt, không phải nội dung)"
